| options
batch_size: 200
checkpoint_every: 2000
cluster_classify: 1
cluster_file: attribute_concept_clusters.json
common_embedding_size: 512
dataset: gqa
display_every: 1
dump_checkpoint_path: 1
dump_data_path: 1
fc1_size: 1000
fc2_size: 1000
glove_embedding_size: 100
gpu_ids: [0]
hidden_size: 512
image_concepts_glove_emb_file: train_image_concepts_glove_embedding.pkl
image_dir: /dccstor/cssblr/amrita/GQA/data/images/
image_feature_size: 512
input_channels: 3
learning_rate: 0.0005
load_checkpoint_path: 1
max_epochs: 3
max_iters: 100000
num_att_layers: 2
preprocessed_data_dir: /dccstor/cssblr/amrita/GQA/data/preprocessed
preprocessed_pos_data: train_attribute_regions.pkl
run_dir: /dccstor/cssblr/amrita/Concept_Catalog_GQA/multiclass_unilabel_cce_attribute
seed: 1
shuffle_data: 1
sort_by: none
vocab_file: attribute_concepts.json
weighted_random_sampler: 1
